Time,Data
10:30:34.500,SIN,2
10:30:34.514,COS,98.0067
10:30:34.606,SIN,19.8669
10:30:34.610,COS,92.1061
10:30:34.710,SIN,41.9418
10:30:34.717,COS,82.5336
10:30:34.825,SIN,59.4642
10:30:34.833,COS,69.6707
10:30:34.937,SIN,72.7356
10:30:34.945,COS,54.0302
10:30:35.046,SIN,89.1471
10:30:35.054,COS,36.2358
10:30:35.152,SIN,95.2039
10:30:35.159,COS,16.9967
10:30:35.257,SIN,98.545
10:30:35.262,COS,-2.91995
10:30:35.371,SIN,104.957
10:30:35.378,COS,-22.7202
10:30:35.476,SIN,103.385
10:30:35.481,COS,-41.6147
10:30:35.590,SIN,96.9297
10:30:35.595,COS,-58.8501
10:30:35.706,SIN,87.8496
10:30:35.715,COS,-73.7394
10:30:35.803,SIN,72.5463
10:30:35.807,COS,-85.6889
10:30:35.911,SIN,56.5501
10:30:35.921,COS,-94.2222
10:30:36.023,SIN,42.4988
10:30:36.035,COS,-98.9992
10:30:36.134,SIN,21.112
10:30:36.145,COS,-99.8295
10:30:36.247,SIN,-1.83741
10:30:36.261,COS,-96.6798
10:30:36.354,SIN,-25.5541
10:30:36.370,COS,-89.6758
10:30:36.457,SIN,-38.252
10:30:36.468,COS,-79.0968
10:30:36.566,SIN,-52.1858
10:30:36.577,COS,-65.3644
10:30:36.677,SIN,-72.6802
10:30:36.689,COS,-49.0261
10:30:36.785,SIN,-80.1576
10:30:36.796,COS,-30.7333
10:30:36.897,SIN,-89.1602
10:30:36.909,COS,-11.2153
10:30:37.016,SIN,-92.3691
10:30:37.023,COS,8.7499
10:30:37.132,SIN,-95.6165
10:30:37.143,COS,28.3662
10:30:37.227,SIN,-93.8924
10:30:37.237,COS,46.8517
10:30:37.357,SIN,-87.3455
10:30:37.362,COS,63.4693
10:30:37.445,SIN,-71.2764
10:30:37.450,COS,77.5566
10:30:37.551,SIN,-56.1267
10:30:37.557,COS,88.552
10:30:37.665,SIN,-37.4602
10:30:37.670,COS,96.017
10:30:37.773,SIN,-23.9415
10:30:37.779,COS,99.6542
10:30:37.879,SIN,-3.30894
10:30:37.885,COS,99.3185
10:30:37.991,SIN,16.6549
10:30:37.997,COS,95.0233
10:30:38.099,SIN,36.1541
10:30:38.106,COS,86.9397
10:30:38.209,SIN,49.4113
10:30:38.214,COS,75.3902
10:30:38.328,SIN,65.6987
10:30:38.334,COS,60.8351
10:30:38.426,SIN,86.3668
10:30:38.431,COS,43.8547
10:30:38.536,SIN,96.8708
10:30:38.542,COS,25.126
10:30:38.646,SIN,101.792
10:30:38.651,COS,5.39554
10:30:38.760,SIN,106.854
10:30:38.775,COS,-14.55
10:30:38.863,SIN,101.936
10:30:38.867,COS,-33.9155
10:30:38.973,SIN,97.0731
10:30:38.983,COS,-51.9289
10:30:39.092,SIN,86.4599
10:30:39.100,COS,-67.872
10:30:39.198,SIN,77.4397
10:30:39.206,COS,-81.1093
10:30:39.310,SIN,60.4917
10:30:39.321,COS,-91.113
10:30:39.414,SIN,44.2118
10:30:39.422,COS,-97.4844
10:30:39.523,SIN,30.289
10:30:39.531,COS,-99.9693
10:30:39.630,SIN,4.47754
10:30:39.637,COS,-98.4688
10:30:39.745,SIN,-12.4327
10:30:39.753,COS,-93.0426
10:30:39.863,SIN,-27.6479
10:30:39.873,COS,-83.9072
10:30:39.969,SIN,-49.4021
10:30:39.980,COS,-71.4266
10:30:40.079,SIN,-63.9875
10:30:40.087,COS,-56.0984
10:30:40.185,SIN,-74.7826
10:30:40.193,COS,-38.5338
10:30:40.297,SIN,-88.2775
10:30:40.308,COS,-19.433
10:30:40.405,SIN,-95.0936
10:30:40.416,COS,0.44257
10:30:40.509,SIN,-91.999
10:30:40.519,COS,20.3005
10:30:40.621,SIN,-91.9178
10:30:40.630,COS,39.3491
10:30:40.740,SIN,-84.9329
10:30:40.750,COS,56.829
10:30:40.847,SIN,-80.2829
10:30:40.857,COS,72.0432
10:30:40.958,SIN,-69.3525
10:30:40.966,COS,84.3854
10:30:41.064,SIN,-45.6573
10:30:41.072,COS,93.3634
10:30:41.169,SIN,-26.8229
10:30:41.175,COS,98.6192
10:30:41.281,SIN,-11.5604
10:30:41.288,COS,99.9435
10:30:41.387,SIN,10.3623
10:30:41.396,COS,97.2833
10:30:41.498,SIN,31.151
10:30:41.506,COS,90.7447
10:30:41.606,SIN,45.0167
10:30:41.615,COS,80.5884
10:30:41.717,SIN,65.2074
10:30:41.726,COS,67.2193
10:30:41.825,SIN,79.0376
10:30:41.835,COS,51.1704
10:30:41.933,SIN,93.9162
10:30:41.940,COS,33.0815
10:30:42.042,SIN,96.3696
10:30:42.051,COS,13.6737
10:30:42.149,SIN,103.061
10:30:42.155,COS,-6.27917
10:30:42.255,SIN,104.803
10:30:42.264,COS,-25.9817
10:30:42.367,SIN,103.566
10:30:42.376,COS,-44.6485
10:30:42.473,SIN,98.4791
10:30:42.479,COS,-61.5352
10:30:42.584,SIN,82.8252
10:30:42.593,COS,-75.9688
10:30:42.704,SIN,72.0288
10:30:42.711,COS,-87.3737
10:30:42.813,SIN,57.6399
10:30:42.821,COS,-95.2953
10:30:42.922,SIN,30.3118
10:30:42.930,COS,-99.4178
10:30:43.035,SIN,14.7754
10:30:43.044,COS,-99.5768
10:30:43.141,SIN,-2.19069
10:30:43.149,COS,-95.7659
10:30:43.253,SIN,-27.7903
10:30:43.260,COS,-88.1372
10:30:43.358,SIN,-45.2422
10:30:43.368,COS,-76.9948
10:30:43.469,SIN,-62.8107
10:30:43.479,COS,-62.7828
10:30:43.576,SIN,-72.8352
10:30:43.586,COS,-46.0679
10:30:43.686,SIN,-82.7567
10:30:43.695,COS,-27.5163
10:30:43.794,SIN,-90.1397
10:30:43.803,COS,-7.86782
10:30:43.901,SIN,-94.69
10:30:43.910,COS,12.0944
10:30:44.013,SIN,-99.2659
10:30:44.022,COS,31.5744
10:30:44.118,SIN,-89.8844
10:30:44.127,COS,49.7956
10:30:44.227,SIN,-82.7202
10:30:44.237,COS,66.0317
10:30:44.336,SIN,-67.0987
10:30:44.345,COS,79.6352
10:30:44.447,SIN,-55.4833
10:30:44.458,COS,90.064
10:30:44.555,SIN,-36.4566
10:30:44.565,COS,96.9022
10:30:44.681,SIN,-19.6974
10:30:44.691,COS,99.8772
10:30:44.786,SIN,2.04644
10:30:44.796,COS,98.8705
10:30:44.895,SIN,16.9877
10:30:44.907,COS,93.922
10:30:45.004,SIN,37.3315
10:30:45.013,COS,85.2292
10:30:45.111,SIN,54.3066
10:30:45.120,COS,73.1386
10:30:45.219,SIN,70.1964
10:30:45.229,COS,58.1322
10:30:45.322,SIN,87.3674
10:30:45.331,COS,40.8082
10:30:45.432,SIN,95.2945
10:30:45.444,COS,21.8573
10:30:45.540,SIN,98.5821
10:30:45.549,COS,2.03508
10:30:45.652,SIN,101.979
10:30:45.662,COS,-17.8683
10:30:45.755,SIN,107.391
10:30:45.764,COS,-37.0593
10:30:45.880,SIN,93.8795
10:30:45.891,COS,-54.7729
10:30:45.989,SIN,88.6656
10:30:46.002,COS,-70.3029
10:30:46.096,SIN,79.1161
10:30:46.108,COS,-83.0301
10:30:46.202,SIN,62.7315
10:30:46.211,COS,-92.4472
10:30:46.312,SIN,46.125
10:30:46.325,COS,-98.1787
10:30:46.419,SIN,20.9987
10:30:46.426,COS,-99.9961
10:30:46.527,SIN,1.11487
10:30:46.538,COS,-97.827
10:30:46.637,SIN,-19.7336
10:30:46.645,COS,-91.7578
10:30:46.749,SIN,-37.7556
10:30:46.758,COS,-82.0305
10:30:46.858,SIN,-54.1926
10:30:46.871,COS,-69.033
10:30:46.966,SIN,-64.3495
10:30:46.977,COS,-53.2833
10:30:47.070,SIN,-75.622
10:30:47.078,COS,-35.4094
10:30:47.179,SIN,-86.521
10:30:47.189,COS,-16.1238
10:30:47.289,SIN,-94.6916
10:30:47.300,COS,3.80459
10:30:47.414,SIN,-92.9276
10:30:47.429,COS,23.5813
10:30:47.518,SIN,-97.1798
10:30:47.529,COS,42.4179
10:30:47.627,SIN,-81.5578
10:30:47.637,COS,59.5634
10:30:47.736,SIN,-76.3256
10:30:47.744,COS,74.3344
10:30:47.844,SIN,-60.891
10:30:47.853,COS,86.1418
10:30:47.955,SIN,-43.7897
10:30:47.964,COS,94.5151
10:30:48.062,SIN,-28.6635
10:30:48.071,COS,99.1203
10:30:48.173,SIN,-5.23518
10:30:48.185,COS,99.7739
10:30:48.282,SIN,15.7208
10:30:48.293,COS,96.4498
10:30:48.389,SIN,27.4089
10:30:48.397,COS,89.2806
10:30:48.497,SIN,45.0441
10:30:48.507,COS,78.5521
10:30:48.605,SIN,63.8835
10:30:48.615,COS,64.6919
10:30:48.711,SIN,82.2558
10:30:48.720,COS,48.2527
10:30:48.819,SIN,92.5881
10:30:48.828,COS,29.8898
10:30:48.926,SIN,103.429
10:30:48.934,COS,10.3353
10:30:49.052,SIN,106.464
10:30:49.065,COS,-9.63129
10:30:49.158,SIN,99.5351
10:30:49.168,COS,-29.2139
10:30:49.259,SIN,104.638
10:30:49.270,COS,-47.6318
10:30:49.365,SIN,90.9273
10:30:49.374,COS,-64.1508
10:30:49.473,SIN,79.7116
10:30:49.482,COS,-78.1123
10:30:49.585,SIN,64.4377
10:30:49.595,COS,-88.9597
10:30:49.699,SIN,49.6746
10:30:49.708,COS,-96.2606
10:30:49.808,SIN,36.0906
10:30:49.818,COS,-99.7239
10:30:49.911,SIN,10.4265
10:30:49.919,COS,-99.2114
10:30:50.021,SIN,-11.5336
10:30:50.030,COS,-94.7438
10:30:50.131,SIN,-30.994
10:30:50.142,COS,-86.499
10:30:50.240,SIN,-50.1789
10:30:50.250,COS,-74.8058
10:30:50.352,SIN,-57.3634
10:30:50.361,COS,-60.1302
10:30:50.457,SIN,-75.9021
10:30:50.465,COS,-43.0575
10:30:50.568,SIN,-84.2555
10:30:50.577,COS,-24.2683
10:30:50.687,SIN,-97.0106
10:30:50.697,COS,-4.51149
10:30:50.795,SIN,-99.8982
10:30:50.806,COS,15.4251
10:30:50.895,SIN,-98.8032
10:30:50.905,COS,34.7468
10:30:51.011,SIN,-88.7692
10:30:51.023,COS,52.6833
10:30:51.113,SIN,-81.9969
10:30:51.123,COS,68.5194
10:30:51.230,SIN,-67.8361
10:30:51.239,COS,81.6239
10:30:51.335,SIN,-51.7715
10:30:51.345,COS,91.4742
10:30:51.443,SIN,-39.4038
10:30:51.454,COS,97.6778
10:30:51.553,SIN,-16.4253
10:30:51.561,COS,99.9873
10:30:51.680,SIN,7.40741
10:30:51.689,COS,98.3106
10:30:51.781,SIN,22.3036
10:30:51.792,COS,92.7146
10:30:51.891,SIN,45.47
10:30:51.903,COS,83.4223
10:30:52.002,SIN,60.1427
10:30:52.010,COS,70.8043
10:30:52.111,SIN,70.6169
10:30:52.121,COS,55.3635
10:30:52.219,SIN,90.2759
10:30:52.229,COS,37.7155
10:30:52.325,SIN,92.615
